#Data for Z=1, E=0.2-100 keV
#     E              f1 
#   keV           e atom-1
2.013709E-01  1.01065E+00
2.152655E-01  1.00957E+00
2.301188E-01  1.00859E+00
2.459970E-01  1.00771E+00
2.629708E-01  1.00691E+00
2.811158E-01  1.00618E+00
3.005128E-01  1.00553E+00
3.212482E-01  1.00494E+00
3.434143E-01  1.00441E+00
3.671099E-01  1.00394E+00
3.924405E-01  1.00351E+00
4.195189E-01  1.00313E+00
4.484657E-01  1.00279E+00
4.794098E-01  1.00248E+00
5.124891E-01  1.00220E+00
5.478508E-01  1.00196E+00
5.856525E-01  1.00174E+00
6.260625E-01  1.00154E+00
6.692609E-01  1.00137E+00
7.154399E-01  1.00121E+00
7.648052E-01  1.00108E+00
8.175768E-01  1.00095E+00
8.739896E-01  1.00084E+00
9.342948E-01  1.00075E+00
9.987612E-01  1.00066E+00
1.067676E+00  1.00058E+00
1.141345E+00  1.00052E+00
1.220098E+00  1.00046E+00
1.304285E+00  1.00040E+00
1.394281E+00  1.00036E+00
1.490486E+00  1.00031E+00
1.593329E+00  1.00028E+00
1.703269E+00  1.00024E+00
1.820795E+00  1.00022E+00
1.946430E+00  1.00019E+00
2.080733E+00  1.00017E+00
2.224304E+00  1.00015E+00
2.377781E+00  1.00013E+00
2.541848E+00  1.00011E+00
2.717235E+00  1.00010E+00
2.904724E+00  1.00009E+00
3.105150E+00  1.00008E+00
3.319406E+00  1.00007E+00
3.548445E+00  1.00006E+00
3.793288E+00  1.00005E+00
4.055024E+00  1.00005E+00
4.334821E+00  1.00004E+00
4.633924E+00  1.00004E+00
4.953664E+00  1.00003E+00
5.295467E+00  1.00003E+00
5.660855E+00  1.00002E+00
6.051453E+00  1.00002E+00
6.469004E+00  1.00002E+00
6.915365E+00  1.00002E+00
7.392525E+00  1.00001E+00
7.902609E+00  1.00001E+00
8.447890E+00  1.00001E+00
9.030794E+00  1.00001E+00
9.653919E+00  1.00001E+00
1.032004E+01  1.00001E+00
1.103212E+01  1.00001E+00
1.179334E+01  1.00001E+00
1.260708E+01  1.00001E+00
1.347697E+01  1.00000E+00
1.440688E+01  1.00000E+00
1.540095E+01  1.00000E+00
1.646362E+01  1.00000E+00
1.759961E+01  1.00000E+00
1.881398E+01  1.00000E+00
2.011215E+01  1.00000E+00
2.149988E+01  1.00000E+00
2.298338E+01  1.00000E+00
2.456923E+01  1.00000E+00
2.626450E+01  1.00000E+00
2.807676E+01  1.00000E+00
3.001405E+01  1.00000E+00
3.208502E+01  1.00000E+00
3.429889E+01  1.00000E+00
3.666551E+01  1.00000E+00
3.919543E+01  1.00000E+00
4.189992E+01  1.00000E+00
4.479101E+01  1.00000E+00
4.788159E+01  1.00000E+00
5.118542E+01  1.00000E+00
5.471721E+01  1.00000E+00
5.849270E+01  1.00000E+00
6.252870E+01  1.00000E+00
6.684318E+01  1.00000E+00
7.145536E+01  1.00000E+00
7.638578E+01  1.00000E+00
8.165640E+01  1.00000E+00
8.729069E+01  1.00000E+00
9.331374E+01  1.00000E+00
9.975239E+01  1.00000E+00
