#Data for Z=76, E=0.2-100 keV
#     E              f1 
#   keV           e atom-1
2.013709E-01  1.40558E+01
2.152655E-01  1.55949E+01
2.301188E-01  1.73100E+01
2.459970E-01  1.91095E+01
2.629708E-01  2.08401E+01
2.673440E-01  2.11921E+01
2.714360E-01  2.13260E+01
2.725272E-01  2.10971E+01
2.741640E-01  2.15895E+01
2.782560E-01  2.22684E+01
2.811158E-01  2.26139E+01
2.836120E-01  2.28744E+01
2.879530E-01  2.31714E+01
2.891106E-01  2.30454E+01
2.908470E-01  2.34970E+01
2.951880E-01  2.41977E+01
3.005128E-01  2.48701E+01
3.212482E-01  2.70645E+01
3.434143E-01  2.90260E+01
3.671099E-01  3.08046E+01
3.924405E-01  3.23961E+01
4.195189E-01  3.37687E+01
4.484657E-01  3.47750E+01
4.588360E-01  3.48718E+01
4.658590E-01  3.44856E+01
4.677318E-01  3.37681E+01
4.705410E-01  3.46743E+01
4.775640E-01  3.56373E+01
4.794098E-01  3.57982E+01
5.0000000E-01  3.84805E+01
5.0250000E-01  3.86059E+01
5.0501250E-01  3.87279E+01
5.0753756E-01  3.88468E+01
5.1007525E-01  3.89629E+01
5.1262563E-01  3.90762E+01
5.1518875E-01  3.91868E+01
5.1776470E-01  3.92949E+01
5.2035352E-01  3.94002E+01
5.2295529E-01  3.95028E+01
5.2557007E-01  3.96023E+01
5.2819792E-01  3.96985E+01
5.3083891E-01  3.97909E+01
5.3349310E-01  3.98784E+01
5.3616057E-01  3.99595E+01
5.3884137E-01  4.00312E+01
5.4153558E-01  4.00860E+01
5.4424325E-01  4.00981E+01
5.4571853E-01  4.00302E+01
5.4696447E-01  4.00160E+01
5.4728152E-01  4.00883E+01
5.4969929E-01  4.03421E+01
5.5244779E-01  4.05153E+01
5.5521003E-01  4.06601E+01
5.5798608E-01  4.07920E+01
5.6077601E-01  4.09163E+01
5.6357989E-01  4.10353E+01
5.6639779E-01  4.11504E+01
5.6922978E-01  4.12625E+01
5.7207593E-01  4.13720E+01
5.7493630E-01  4.14793E+01
5.7781099E-01  4.15847E+01
5.8070004E-01  4.16883E+01
5.8360354E-01  4.17903E+01
5.8652156E-01  4.18908E+01
5.8945417E-01  4.19898E+01
5.9240144E-01  4.20874E+01
5.9536345E-01  4.21836E+01
5.9834026E-01  4.22784E+01
6.0133196E-01  4.23719E+01
6.0433862E-01  4.24640E+01
6.0736032E-01  4.25547E+01
6.1039712E-01  4.26439E+01
6.1344910E-01  4.27315E+01
6.1651635E-01  4.28174E+01
6.1959893E-01  4.29014E+01
6.2269693E-01  4.29834E+01
6.2581041E-01  4.30630E+01
6.2893946E-01  4.31398E+01
6.3208416E-01  4.32133E+01
6.3524458E-01  4.32827E+01
6.3842080E-01  4.33465E+01
6.4161291E-01  4.34026E+01
6.4482097E-01  4.34467E+01
6.4804508E-01  4.34690E+01
6.5128530E-01  4.34371E+01
6.5327272E-01  4.33097E+01
6.5454173E-01  4.30989E+01
6.5532723E-01  4.33672E+01
6.5781444E-01  4.36460E+01
6.6110351E-01  4.38496E+01
6.6440903E-01  4.40079E+01
6.6773107E-01  4.41467E+01
6.7106973E-01  4.42746E+01
6.7442508E-01  4.43953E+01
6.7779720E-01  4.45110E+01
6.8118619E-01  4.46228E+01
6.8459212E-01  4.47317E+01
6.8801508E-01  4.48380E+01
6.9145515E-01  4.49424E+01
6.9491243E-01  4.50449E+01
6.9838699E-01  4.51459E+01
7.0187893E-01  4.52455E+01
7.0538832E-01  4.53440E+01
7.0891526E-01  4.54413E+01
7.1245984E-01  4.55376E+01
7.1602214E-01  4.56329E+01
7.1960225E-01  4.57275E+01
7.2320026E-01  4.58212E+01
7.2681626E-01  4.59141E+01
7.3045034E-01  4.60064E+01
7.3410260E-01  4.60980E+01
7.3777311E-01  4.61889E+01
7.4146197E-01  4.62792E+01
7.4516928E-01  4.63690E+01
7.4889513E-01  4.64581E+01
7.5263961E-01  4.65467E+01
7.5640280E-01  4.66348E+01
7.6018482E-01  4.67224E+01
7.6398574E-01  4.68095E+01
7.6780567E-01  4.68961E+01
7.7164470E-01  4.69823E+01
7.7550292E-01  4.70681E+01
7.7938044E-01  4.71535E+01
7.8327734E-01  4.72384E+01
7.8719373E-01  4.73231E+01
7.9112969E-01  4.74074E+01
7.9508534E-01  4.74912E+01
7.9906077E-01  4.75745E+01
8.0305607E-01  4.76574E+01
8.0707135E-01  4.77398E+01
8.1110671E-01  4.78217E+01
8.1516224E-01  4.79032E+01
8.1923806E-01  4.80002E+01
8.2333425E-01  4.80811E+01
8.2745092E-01  4.81617E+01
8.3158817E-01  4.82418E+01
8.3574611E-01  4.83216E+01
8.3992484E-01  4.84011E+01
8.4412447E-01  4.84802E+01
8.4834509E-01  4.85591E+01
8.5258682E-01  4.86376E+01
