#Data for Z=92, E=0.2-100 keV
#     E              f2 
#   keV           e atom-1
2.013709E-01  3.3938E+00
2.152655E-01  3.0715E+00
2.301188E-01  2.8345E+00
2.459970E-01  2.6663E+00
2.541140E-01  2.6041E+00
2.580035E-01  2.5788E+00
2.590407E-01  2.5725E+00
2.605965E-01  3.2065E+00
2.629708E-01  3.1757E+00
2.644860E-01  3.1568E+00
2.811158E-01  2.9841E+00
3.005128E-01  2.8491E+00
3.172260E-01  2.7776E+00
3.212482E-01  2.7650E+00
3.220815E-01  2.7626E+00
3.233763E-01  2.7589E+00
3.253185E-01  2.9706E+00
3.301740E-01  2.9605E+00
3.434143E-01  2.9416E+00
3.671099E-01  2.9316E+00
3.732820E-01  2.9328E+00
3.789955E-01  2.9349E+00
3.805191E-01  2.9356E+00
3.828045E-01  3.2026E+00
3.834740E-01  3.2108E+00
3.885180E-01  3.2810E+00
3.893435E-01  3.2939E+00
3.909087E-01  3.3195E+00
3.924405E-01  3.5522E+00
3.932565E-01  3.5743E+00
3.991260E-01  3.7559E+00
4.195189E-01  4.8226E+00
4.484657E-01  7.9788E+00
4.794098E-01  1.3269E+01
5.124891E-01  2.0027E+01
5.478508E-01  2.6903E+01
5.856525E-01  3.2585E+01
6.260625E-01  3.6340E+01
6.692609E-01  3.8080E+01
7.154399E-01  3.8143E+01
7.229460E-01  3.8032E+01
7.340115E-01  3.7824E+01
7.369623E-01  3.7760E+01
7.413885E-01  4.1359E+01
7.524540E-01  4.1135E+01
7.648052E-01  4.0844E+01
7.764980E-01  4.0535E+01
7.796196E-01  4.0447E+01
7.843020E-01  4.2572E+01
7.960080E-01  4.2262E+01
8.175768E-01  4.1650E+01
8.739896E-01  3.9885E+01
9.342948E-01  3.7929E+01
9.987612E-01  3.5952E+01
1.024002E+00  3.5157E+01
1.039675E+00  3.4673E+01
1.043855E+00  3.4545E+01
1.050124E+00  3.6492E+01
1.065798E+00  3.6075E+01
1.067676E+00  3.6026E+01
1.141345E+00  3.4109E+01
1.220098E+00  3.2167E+01
1.247148E+00  3.1543E+01
1.266237E+00  3.1076E+01
1.271327E+00  3.0953E+01
1.278963E+00  3.1232E+01
1.298052E+00  3.0775E+01
1.304285E+00  3.0628E+01
1.394281E+00  2.8569E+01
1.411984E+00  2.8194E+01
1.433596E+00  2.7750E+01
1.439359E+00  2.7634E+01
1.448004E+00  2.7992E+01
1.469616E+00  2.7573E+01
1.490486E+00  2.7181E+01
1.593329E+00  2.5229E+01
1.703269E+00  2.3293E+01
1.820795E+00  2.1544E+01
1.946430E+00  1.9946E+01
2.080733E+00  1.8490E+01
2.224304E+00  1.7142E+01
2.377781E+00  1.5922E+01
2.541848E+00  1.4819E+01
2.717235E+00  1.3811E+01
2.904724E+00  1.2896E+01
3.105150E+00  1.1834E+01
3.319406E+00  1.0677E+01
3.480666E+00  9.9352E+00
3.533942E+00  9.7113E+00
3.548445E+00  9.6521E+00
3.569459E+00  2.0892E+01
3.622734E+00  2.1494E+01
3.653048E+00  2.1860E+01
3.708962E+00  2.2581E+01
3.723872E+00  2.2783E+01
3.746238E+00  3.1484E+01
3.793288E+00  3.1609E+01
3.802152E+00  3.1623E+01
4.055024E+00  3.0305E+01
4.217332E+00  2.8336E+01
4.281883E+00  2.7486E+01
4.299097E+00  2.7258E+01
4.324917E+00  3.1346E+01
4.334821E+00  3.1209E+01
4.389468E+00  3.0458E+01
4.633924E+00  2.7299E+01
4.953664E+00  2.4172E+01
