#Data for H2O, E=5-20 keV
#                   [µ/rho]
#    E             Total
#   keV            cm2 g-1
5.295467E+00  3.354289E+01
5.660855E+00  2.749735E+01
6.051453E+00  2.255319E+01
6.469004E+00  1.850878E+01
6.915365E+00  1.519979E+01
7.392525E+00  1.249300E+01
7.902609E+00  1.027736E+01
8.447890E+00  8.464951E+00
9.030794E+00  6.971115E+00
9.653919E+00  5.721777E+00
1.032004E+01  4.696412E+00
1.103212E+01  3.855846E+00
1.179334E+01  3.174232E+00
1.260708E+01  2.621632E+00
1.347697E+01  2.173622E+00
1.440688E+01  1.810037E+00
1.540095E+01  1.514799E+00
1.646362E+01  1.275029E+00
1.759961E+01  1.080069E+00
1.881398E+01  9.214645E-01
