#Data for Z=76, E=5-20 keV
#                   [µ/rho]
#    E             Total
#   keV            cm2 g-1
5.0083023E+00  5.6544E+02
5.0333438E+00  5.5839E+02
5.0585105E+00  5.5143E+02
5.0838031E+00  5.4456E+02
5.1092221E+00  5.3779E+02
5.1347682E+00  5.3108E+02
5.1604421E+00  5.2444E+02
5.1862443E+00  5.1789E+02
5.2121755E+00  5.1143E+02
5.2382364E+00  5.0505E+02
5.2644276E+00  4.9876E+02
5.2907497E+00  4.9255E+02
5.3172034E+00  4.8642E+02
5.3437895E+00  4.8038E+02
5.3705084E+00  4.7442E+02
5.3973609E+00  4.6853E+02
5.4243477E+00  4.6273E+02
5.4514695E+00  4.5698E+02
5.4787268E+00  4.5131E+02
5.5061205E+00  4.4570E+02
5.5336511E+00  4.4018E+02
5.5613193E+00  4.3472E+02
5.5891259E+00  4.2933E+02
5.6170716E+00  4.2394E+02
5.6451569E+00  4.1862E+02
5.6733827E+00  4.1337E+02
5.7017496E+00  4.0819E+02
5.7302584E+00  4.0308E+02
5.7589096E+00  3.9804E+02
5.7877042E+00  3.9306E+02
5.8166427E+00  3.8815E+02
5.8457259E+00  3.8331E+02
5.8749546E+00  3.7853E+02
5.9043293E+00  3.7381E+02
5.9338510E+00  3.6916E+02
5.9635202E+00  3.6457E+02
5.9933378E+00  3.6004E+02
6.0233045E+00  3.5557E+02
6.0534210E+00  3.5115E+02
6.0836882E+00  3.4680E+02
6.1141066E+00  3.4249E+02
6.1446771E+00  3.3823E+02
6.1754005E+00  3.3403E+02
6.2062775E+00  3.2988E+02
6.2373089E+00  3.2578E+02
6.2684954E+00  3.2174E+02
6.2998379E+00  3.1775E+02
6.3313371E+00  3.1382E+02
6.3629938E+00  3.0993E+02
6.3948088E+00  3.0610E+02
6.4267828E+00  3.0232E+02
6.4589167E+00  2.9859E+02
6.4912113E+00  2.9490E+02
6.5236674E+00  2.9127E+02
6.5562857E+00  2.8768E+02
6.5890671E+00  2.8414E+02
6.6220125E+00  2.8065E+02
6.6551225E+00  2.7720E+02
6.6883981E+00  2.7380E+02
6.7218401E+00  2.7044E+02
6.7554493E+00  2.6712E+02
6.7892266E+00  2.6385E+02
6.8231727E+00  2.6062E+02
6.8572886E+00  2.5744E+02
6.8915750E+00  2.5429E+02
6.9260329E+00  2.5119E+02
6.9606631E+00  2.4812E+02
6.9954664E+00  2.4510E+02
7.0304437E+00  2.4211E+02
7.0655959E+00  2.3917E+02
7.1009239E+00  2.3626E+02
7.1364285E+00  2.3339E+02
7.1721107E+00  2.3055E+02
7.2079712E+00  2.2776E+02
7.2440111E+00  2.2499E+02
7.2802311E+00  2.2227E+02
7.3166323E+00  2.1958E+02
7.3532155E+00  2.1692E+02
7.3899815E+00  2.1430E+02
7.4269314E+00  2.1172E+02
7.4640661E+00  2.0916E+02
7.5013864E+00  2.0664E+02
7.5388934E+00  2.0415E+02
7.5765878E+00  2.0170E+02
7.6144708E+00  1.9927E+02
7.6525431E+00  1.9688E+02
7.6908058E+00  1.9451E+02
7.7292599E+00  1.9218E+02
7.7679062E+00  1.8987E+02
7.8067457E+00  1.8760E+02
7.8457794E+00  1.8536E+02
7.8850083E+00  1.8314E+02
7.9244334E+00  1.8095E+02
7.9640555E+00  1.7879E+02
8.0038758E+00  1.7666E+02
8.0438952E+00  1.7455E+02
8.0841147E+00  1.7247E+02
8.1245352E+00  1.7042E+02
8.1651579E+00  1.6839E+02
8.2059837E+00  1.6639E+02
8.2470136E+00  1.6442E+02
8.2882487E+00  1.6247E+02
8.3296899E+00  1.6054E+02
8.3713384E+00  1.5864E+02
8.4131951E+00  1.5676E+02
8.4552610E+00  1.5491E+02
8.4975373E+00  1.5308E+02
8.5400250E+00  1.5124E+02
9.030794E+00  1.3167E+02
9.653919E+00  1.1035E+02
1.032004E+01  9.2720E+01
1.065348E+01  8.5388E+01
1.081655E+01  8.2028E+01
1.086003E+01  8.1166E+01
1.092525E+01  2.0788E+02
1.103212E+01  2.0250E+02
1.108832E+01  1.9975E+02
1.179334E+01  1.6915E+02
1.213730E+01  1.5649E+02
1.232308E+01  1.5015E+02
1.237262E+01  1.4851E+02
1.244693E+01  2.0281E+02
1.260708E+01  1.9594E+02
1.263270E+01  1.9487E+02
1.270864E+01  1.9175E+02
1.290316E+01  1.8406E+02
1.295503E+01  1.8209E+02
1.303284E+01  2.0711E+02
1.322736E+01  1.9949E+02
1.347697E+01  1.9028E+02
1.440688E+01  1.6052E+02
1.540095E+01  1.3525E+02
1.646362E+01  1.1393E+02
1.759961E+01  9.5865E+01
1.881398E+01  8.0688E+01
