#Data for Z=92, E=5-20 keV
#                   [µ/rho]
#    E             Total
#   keV            cm2 g-1
5.078556E+00  8.1564E+02
5.156289E+00  7.8340E+02
5.177018E+00  7.7515E+02
5.208111E+00  8.1288E+02
5.285844E+00  7.8292E+02
5.295467E+00  7.7934E+02
5.437040E+00  7.2963E+02
5.520260E+00  7.0282E+02
5.542452E+00  6.9592E+02
5.575740E+00  7.1598E+02
5.660855E+00  6.9044E+02
6.051453E+00  5.8951E+02
6.469004E+00  5.0430E+02
6.915365E+00  4.3142E+02
7.392525E+00  3.6771E+02
7.902609E+00  3.1244E+02
8.447890E+00  2.6592E+02
9.030794E+00  2.2573E+02
9.653919E+00  1.8957E+02
1.032004E+01  1.5956E+02
1.103212E+01  1.3430E+02
1.179334E+01  1.1313E+02
1.260708E+01  9.5471E+01
1.347697E+01  8.0723E+01
1.440688E+01  6.8351E+01
1.540095E+01  5.7944E+01
1.646362E+01  4.9068E+01
1.682297E+01  4.6504E+01
1.708047E+01  4.4787E+01
1.714913E+01  4.4345E+01
1.725213E+01  1.0327E+02
1.750963E+01  9.9419E+01
1.759961E+01  9.8122E+01
1.881398E+01  8.2478E+01
