#Data for H20, E = 0.2 - 100 keV 
# E              f1 
# keV           e atom - 1 
# INTERPOLATED FROM H AND O
2.013708999999999916e-01 8.483330000000000481e+00
2.152654999999999985e-01 8.462720000000000908e+00
2.301188000000000122e-01 8.436370000000000147e+00
2.459969999999999934e-01 8.404130000000000322e+00
2.629708000000000045e-01 8.365479999999999805e+00
2.811158000000000268e-01 8.319490000000000052e+00
3.005128000000000243e-01 8.264720000000000510e+00
3.212481999999999838e-01 8.198840000000000572e+00
3.434143000000000057e-01 8.118339999999999890e+00
3.671098999999999890e-01 8.017630000000000479e+00
3.924405000000000254e-01 7.887299999999999756e+00
4.195188999999999724e-01 7.710309999999999775e+00
4.484657000000000227e-01 7.451070000000000526e+00
4.794097999999999971e-01 7.015079999999999316e+00
5.124891000000000307e-01 5.975139999999999674e+00
5.213600000000000456e-01 5.289336532702737514e+00
5.293400000000000327e-01 3.642537253366874062e+00
5.314680000000000515e-01 1.667721391395605934e+00
5.346600000000000241e-01 3.720445315173605216e+00
5.426400000000000112e-01 5.521788743757728213e+00
5.478507999999999711e-01 6.055959999999999788e+00
5.856525000000000203e-01 7.750020000000001019e+00
6.260624999999999662e-01 8.555740000000000123e+00
6.692609000000000474e-01 9.077539999999999054e+00
7.154399000000000175e-01 9.443290000000001072e+00
7.648051999999999628e-01 9.708179999999998699e+00
8.175767999999999924e-01 9.903400000000001313e+00
8.739896000000000331e-01 1.004997999999999969e+01
9.342947999999999809e-01 1.016264999999999930e+01
9.987612000000000156e-01 1.024385999999999974e+01
1.067676000000000069e+00 1.030383000000000138e+01
1.141345000000000054e+00 1.033964999999999890e+01
1.220097999999999905e+00 1.036026999999999987e+01
1.304284999999999917e+00 1.036982000000000070e+01
1.394281000000000104e+00 1.037121999999999922e+01
1.490485999999999978e+00 1.036657999999999902e+01
1.593328999999999995e+00 1.035760999999999932e+01
1.703268999999999922e+00 1.034639999999999915e+01
1.820794999999999941e+00 1.033241999999999905e+01
1.946430000000000105e+00 1.031727000000000061e+01
2.080732999999999944e+00 1.030179000000000045e+01
2.224304000000000059e+00 1.028611000000000075e+01
2.377781000000000144e+00 1.026911000000000129e+01
2.541847999999999885e+00 1.025173999999999985e+01
2.717235000000000067e+00 1.023461999999999961e+01
2.904723999999999862e+00 1.021809000000000012e+01
3.105150000000000077e+00 1.020271999999999935e+01
3.319405999999999857e+00 1.018741999999999948e+01
3.548445000000000071e+00 1.017233999999999838e+01
3.793287999999999993e+00 1.015789000000000009e+01
4.055024000000000406e+00 1.014423999999999992e+01
4.334820999999999813e+00 1.013144000000000133e+01
4.633924000000000376e+00 1.011955000000000027e+01
4.953663999999999845e+00 1.010853000000000002e+01
5.295467000000000368e+00 1.009839999999999982e+01
5.660854999999999748e+00 1.008906999999999954e+01
6.051453000000000415e+00 1.008055000000000057e+01
6.469003999999999976e+00 1.007277000000000022e+01
6.915365000000000428e+00 1.006568000000000040e+01
7.392525000000000013e+00 1.005921999999999983e+01
7.902608999999999995e+00 1.005338000000000065e+01
8.447889999999999233e+00 1.004810000000000159e+01
9.030794000000000210e+00 1.004335000000000022e+01
9.653919000000000139e+00 1.003906999999999883e+01
1.032004000000000055e+01 1.003515000000000157e+01
1.103212000000000081e+01 1.003155999999999892e+01
1.179334000000000060e+01 1.002828999999999837e+01
1.260707999999999984e+01 1.002532000000000068e+01
1.347696999999999967e+01 1.002261999999999986e+01
1.440687999999999924e+01 1.002021000000000051e+01
1.540094999999999992e+01 1.001803999999999917e+01
1.646361999999999881e+01 1.001609000000000016e+01
1.759960999999999842e+01 1.001434000000000069e+01
1.881398000000000081e+01 1.001276999999999973e+01
2.011214999999999975e+01 1.001136999999999944e+01
2.149988000000000099e+01 1.001012000000000057e+01
2.298338000000000036e+01 1.000900000000000034e+01
2.456923000000000101e+01 1.000801000000000052e+01
2.626450000000000173e+01 1.000713000000000008e+01
2.807676000000000016e+01 1.000633000000000017e+01
3.001405000000000101e+01 1.000562000000000040e+01
3.208502000000000010e+01 1.000497999999999976e+01
3.429889000000000010e+01 1.000441999999999965e+01
3.666550999999999760e+01 1.000392000000000081e+01
3.919543000000000177e+01 1.000347000000000008e+01
4.189992000000000161e+01 1.000306999999999924e+01
4.479100999999999999e+01 1.000272000000000006e+01
4.788159000000000276e+01 1.000239999999999974e+01
5.118542000000000058e+01 1.000212999999999930e+01
5.471721000000000146e+01 1.000187999999999988e+01
5.849269999999999925e+01 1.000165999999999933e+01
6.252870000000000061e+01 1.000146999999999942e+01
6.684318000000000382e+01 1.000130000000000052e+01
7.145535999999999888e+01 1.000113999999999947e+01
7.638577999999999690e+01 1.000101000000000084e+01
8.165640000000000498e+01 1.000089000000000006e+01
8.729068999999999789e+01 1.000079000000000029e+01
9.331373999999999569e+01 1.000069000000000052e+01
9.975239000000000544e+01 1.000061000000000000e+01
