#Data for Z=8, E=0.2-100 keV
#     E              f1 
#   keV           e atom-1
2.013709E-01  6.46203E+00
2.152655E-01  6.44358E+00
2.301188E-01  6.41919E+00
2.459970E-01  6.38871E+00
2.629708E-01  6.35166E+00
2.811158E-01  6.30713E+00
3.005128E-01  6.25366E+00
3.212482E-01  6.18896E+00
3.434143E-01  6.10952E+00
3.671099E-01  6.00975E+00
3.924405E-01  5.88028E+00
4.195189E-01  5.70405E+00
4.484657E-01  5.44549E+00
4.794098E-01  5.01012E+00
5.124891E-01  3.97074E+00
5.213600E-01  3.28506E+00
5.293400E-01  1.63837E+00
5.314680E-01  -3.36417E-01
5.346600E-01  1.71635E+00
5.426400E-01  3.51780E+00
5.478508E-01  4.05204E+00
5.856525E-01  5.74654E+00
6.260625E-01  6.55266E+00
6.692609E-01  7.07480E+00
7.154399E-01  7.44087E+00
7.648052E-01  7.70602E+00
8.175768E-01  7.90150E+00
8.739896E-01  8.04830E+00
9.342948E-01  8.16115E+00
9.987612E-01  8.24254E+00
1.067676E+00  8.30267E+00
1.141345E+00  8.33861E+00
1.220098E+00  8.35935E+00
1.304285E+00  8.36902E+00
1.394281E+00  8.37050E+00
1.490486E+00  8.36596E+00
1.593329E+00  8.35705E+00
1.703269E+00  8.34592E+00
1.820795E+00  8.33198E+00
1.946430E+00  8.31689E+00
2.080733E+00  8.30145E+00
2.224304E+00  8.28581E+00
2.377781E+00  8.26885E+00
2.541848E+00  8.25152E+00
2.717235E+00  8.23442E+00
2.904724E+00  8.21791E+00
3.105150E+00  8.20256E+00
3.319406E+00  8.18728E+00
3.548445E+00  8.17222E+00
3.793288E+00  8.15779E+00
4.055024E+00  8.14414E+00
4.334821E+00  8.13136E+00
4.633924E+00  8.11947E+00
4.953664E+00  8.10847E+00
5.295467E+00  8.09834E+00
5.660855E+00  8.08903E+00
6.051453E+00  8.08051E+00
6.469004E+00  8.07273E+00
6.915365E+00  8.06564E+00
7.392525E+00  8.05920E+00
7.902609E+00  8.05336E+00
8.447890E+00  8.04808E+00
9.030794E+00  8.04333E+00
9.653919E+00  8.03905E+00
1.032004E+01  8.03513E+00
1.103212E+01  8.03154E+00
1.179334E+01  8.02827E+00
1.260708E+01  8.02530E+00
1.347697E+01  8.02262E+00
1.440688E+01  8.02021E+00
1.540095E+01  8.01804E+00
1.646362E+01  8.01609E+00
1.759961E+01  8.01434E+00
1.881398E+01  8.01277E+00
2.011215E+01  8.01137E+00
2.149988E+01  8.01012E+00
2.298338E+01  8.00900E+00
2.456923E+01  8.00801E+00
2.626450E+01  8.00713E+00
2.807676E+01  8.00633E+00
3.001405E+01  8.00562E+00
3.208502E+01  8.00498E+00
3.429889E+01  8.00442E+00
3.666551E+01  8.00392E+00
3.919543E+01  8.00347E+00
4.189992E+01  8.00307E+00
4.479101E+01  8.00272E+00
4.788159E+01  8.00240E+00
5.118542E+01  8.00213E+00
5.471721E+01  8.00188E+00
5.849270E+01  8.00166E+00
6.252870E+01  8.00147E+00
6.684318E+01  8.00130E+00
7.145536E+01  8.00114E+00
7.638578E+01  8.00101E+00
8.165640E+01  8.00089E+00
8.729069E+01  8.00079E+00
9.331374E+01  8.00069E+00
9.975239E+01  8.00061E+00
