#Data for Z=92, E=0.2-100 keV
#     E              f1 
#   keV           e atom-1
2.013709E-01  3.35341E+01
2.152655E-01  3.33723E+01
2.301188E-01  3.29363E+01
2.459970E-01  3.23325E+01
2.541140E-01  3.19033E+01
2.580035E-01  3.15076E+01
2.590407E-01  3.11474E+01
2.605965E-01  3.14447E+01
2.629708E-01  3.15923E+01
2.644860E-01  3.16172E+01
2.811158E-01  3.13188E+01
3.005128E-01  3.06073E+01
3.172260E-01  2.97959E+01
3.212482E-01  2.95385E+01
3.220815E-01  2.94695E+01
3.233763E-01  2.92950E+01
3.253185E-01  2.93089E+01
3.301740E-01  2.91549E+01
3.434143E-01  2.84880E+01
3.671099E-01  2.68836E+01
3.732820E-01  2.63425E+01
3.789955E-01  2.57157E+01
3.805191E-01  2.54349E+01
3.828045E-01  2.53129E+01
3.834740E-01  2.52644E+01
3.885180E-01  2.47687E+01
3.893435E-01  2.46666E+01
3.909087E-01  2.44069E+01
3.924405E-01  2.43091E+01
3.932565E-01  2.42563E+01
3.991260E-01  2.37060E+01
4.195189E-01  2.13041E+01
4.484657E-01  1.77332E+01
4.794098E-01  1.50367E+01
5.124891E-01  1.44442E+01
5.478508E-01  1.64762E+01
5.856525E-01  2.07109E+01
6.260625E-01  2.61225E+01
6.692609E-01  3.15630E+01
7.154399E-01  3.56536E+01
7.229460E-01  3.59117E+01
7.340115E-01  3.52859E+01
7.369623E-01  3.36416E+01
7.413885E-01  3.58717E+01
7.524540E-01  3.83022E+01
7.648052E-01  3.97072E+01
7.764980E-01  4.01205E+01
7.796196E-01  3.93107E+01
7.843020E-01  4.09476E+01
7.960080E-01  4.30958E+01
8.175768E-01  4.56281E+01
8.739896E-01  5.03000E+01
9.342948E-01  5.37743E+01
9.987612E-01  5.62746E+01
1.024002E+00  5.67617E+01
1.039675E+00  5.63907E+01
1.043855E+00  5.54427E+01
1.050124E+00  5.67055E+01
1.065798E+00  5.81523E+01
1.067676E+00  5.82710E+01
1.141345E+00  6.14510E+01
1.220098E+00  6.37054E+01
1.247148E+00  6.42924E+01
1.266237E+00  6.45437E+01
1.271327E+00  6.44228E+01
1.278963E+00  6.48365E+01
1.298052E+00  6.54451E+01
1.304285E+00  6.56027E+01
1.394281E+00  6.72306E+01
1.411984E+00  6.74332E+01
1.433596E+00  6.75238E+01
1.439359E+00  6.73356E+01
1.448004E+00  6.77376E+01
1.469616E+00  6.82637E+01
1.490486E+00  6.86245E+01
1.593329E+00  6.99370E+01
1.703269E+00  7.08029E+01
1.820795E+00  7.13695E+01
1.946430E+00  7.17207E+01
2.080733E+00  7.18915E+01
2.224304E+00  7.19718E+01
2.377781E+00  7.18121E+01
2.541848E+00  7.14495E+01
2.717235E+00  7.08654E+01
2.904724E+00  6.99412E+01
3.105150E+00  6.86251E+01
3.319406E+00  6.54390E+01
3.480666E+00  5.97039E+01
3.533942E+00  5.38613E+01
3.548445E+00  4.74966E+01
3.569459E+00  5.26347E+01
3.622734E+00  5.61730E+01
3.653048E+00  5.65213E+01
3.708962E+00  5.46240E+01
3.723872E+00  5.07198E+01
3.746238E+00  5.57172E+01
3.793288E+00  6.05481E+01
3.802152E+00  6.11356E+01
4.055024E+00  7.07049E+01
4.217332E+00  7.30339E+01
4.281883E+00  7.22360E+01
4.299097E+00  7.02440E+01
4.324917E+00  7.28482E+01
4.334821E+00  7.35305E+01
4.389468E+00  7.56949E+01
4.633924E+00  7.97420E+01
4.953664E+00  8.17842E+01
5.078556E+00  8.20216E+01
5.156289E+00  8.16845E+01
5.177018E+00  8.10069E+01
5.208111E+00  8.18451E+01
5.285844E+00  8.27243E+01
5.295467E+00  8.27906E+01
5.437040E+00  8.34056E+01
5.520260E+00  8.33692E+01
5.542452E+00  8.29745E+01
5.575740E+00  8.35910E+01
5.660855E+00  8.43339E+01
6.051453E+00  8.58919E+01
6.469004E+00  8.68845E+01
6.915365E+00  8.76315E+01
7.392525E+00  8.83400E+01
7.902609E+00  8.88088E+01
8.447890E+00  8.90434E+01
9.030794E+00  8.93244E+01
9.653919E+00  8.93484E+01
1.032004E+01  8.92472E+01
1.103212E+01  8.91021E+01
1.179334E+01  8.88563E+01
1.260708E+01  8.85144E+01
1.347697E+01  8.80793E+01
1.440688E+01  8.75056E+01
1.540095E+01  8.66632E+01
1.646362E+01  8.49904E+01
1.682297E+01  8.37020E+01
1.708047E+01  8.11840E+01
1.714913E+01  7.82159E+01
1.725213E+01  8.11816E+01
1.750963E+01  8.38201E+01
1.759961E+01  8.42601E+01
1.881398E+01  8.65214E+01
2.011215E+01  8.66430E+01
2.052865E+01  8.61569E+01
2.084286E+01  8.49264E+01
2.092665E+01  8.34187E+01
2.105234E+01  8.49155E+01
2.132225E+01  8.60676E+01
2.136655E+01  8.61487E+01
2.149988E+01  8.62893E+01
2.164861E+01  8.61911E+01
2.173564E+01  8.55954E+01
2.186619E+01  8.65378E+01
2.219255E+01  8.76176E+01
2.298338E+01  8.88440E+01
2.456923E+01  9.01206E+01
2.626450E+01  9.08923E+01
2.807676E+01  9.14167E+01
3.001405E+01  9.17506E+01
3.208502E+01  9.19635E+01
3.429889E+01  9.20978E+01
3.666551E+01  9.22294E+01
3.919543E+01  9.22566E+01
4.189992E+01  9.22905E+01
4.479101E+01  9.22915E+01
4.788159E+01  9.22438E+01
5.118542E+01  9.21798E+01
5.471721E+01  9.21051E+01
5.849270E+01  9.20229E+01
6.252870E+01  9.19351E+01
6.684318E+01  9.18426E+01
7.145536E+01  9.17453E+01
7.638578E+01  9.16425E+01
8.165640E+01  9.15374E+01
8.729069E+01  9.14048E+01
9.331374E+01  9.12401E+01
9.975239E+01  9.10167E+01
