#Data for H20, E=0.2-100 keV
#     E              f2 
#   keV           e atom-1
2.013709E-01  1.231900E-01
2.152655E-01  1.067340E-01
2.301188E-01  9.241000E-02
2.459970E-01  7.995200E-02
2.629708E-01  6.912600E-02
2.811158E-01  5.972600E-02
3.005128E-01  5.157000E-02
3.212482E-01  4.449800E-02
3.434143E-01  3.837200E-02
3.671099E-01  3.307000E-02
3.924405E-01  2.848200E-02
4.195189E-01  2.451600E-02
4.484657E-01  2.109000E-02
4.794098E-01  1.813280E-02
5.124891E-01  1.558120E-02
5.478508E-01  1.338140E-02
5.856525E-01  1.148600E-02
6.260625E-01  9.854000E-03
6.692609E-01  8.449600E-03
7.154399E-01  7.241600E-03
7.648052E-01  6.203400E-03
8.175768E-01  5.311600E-03
8.739896E-01  4.546000E-03
9.342948E-01  3.888800E-03
9.987612E-01  3.325400E-03
1.067676E+00  2.842200E-03
1.141345E+00  2.428400E-03
1.220098E+00  2.074000E-03
1.304285E+00  1.770560E-03
1.394281E+00  1.511000E-03
1.490486E+00  1.289020E-03
1.593329E+00  1.099300E-03
1.703269E+00  9.371800E-04
1.820795E+00  7.987000E-04
1.946430E+00  6.805000E-04
2.080733E+00  5.796000E-04
2.224304E+00  4.935400E-04
2.377781E+00  4.201400E-04
2.541848E+00  3.575600E-04
2.717235E+00  3.042200E-04
2.904724E+00  2.588000E-04
3.105150E+00  2.201000E-04
3.319406E+00  1.871440E-04
3.548445E+00  1.590980E-04
3.793288E+00  1.352300E-04
4.055024E+00  1.149220E-04
4.334821E+00  9.765000E-05
4.633924E+00  8.296200E-05
4.953664E+00  7.047400E-05
5.295467E+00  5.986000E-05
5.660855E+00  5.083800E-05
6.051453E+00  4.317200E-05
6.469004E+00  3.666000E-05
6.915365E+00  3.112800E-05
7.392525E+00  2.642800E-05
7.902609E+00  2.243800E-05
8.447890E+00  1.904960E-05
9.030794E+00  1.617260E-05
9.653919E+00  1.373020E-05
1.032004E+01  1.165660E-05
1.103212E+01  9.896400E-06
1.179334E+01  8.402400E-06
1.260708E+01  7.134200E-06
1.347697E+01  6.057800E-06
1.440688E+01  5.144200E-06
1.540095E+01  4.368800E-06
1.646362E+01  3.710600E-06
1.759961E+01  3.152000E-06
1.881398E+01  2.677800E-06
2.011215E+01  2.275200E-06
2.149988E+01  1.933380E-06
2.298338E+01  1.643220E-06
2.456923E+01  1.396860E-06
2.626450E+01  1.187660E-06
2.807676E+01  1.009980E-06
3.001405E+01  8.590800E-07
3.208502E+01  7.308800E-07
3.429889E+01  6.219600E-07
3.666551E+01  5.294200E-07
3.919543E+01  4.507400E-07
4.189992E+01  3.838800E-07
4.479101E+01  3.270200E-07
4.788159E+01  2.786800E-07
5.118542E+01  2.375400E-07
5.471721E+01  2.025600E-07
5.849270E+01  1.727800E-07
6.252870E+01  1.474300E-07
6.684318E+01  1.258460E-07
7.145536E+01  1.074640E-07
7.638578E+01  9.180200E-08
8.165640E+01  7.845400E-08
8.729069E+01  6.707400E-08
9.331374E+01  5.737000E-08
9.975239E+01  4.909000E-08
